meas_id,pose_id,x,y
0,0,-0.283769979,0.628299398
1,7,5.263315461,0.032642954
2,14,10.639724057,2.186575294
3,21,15.549713944,4.495350411
4,28,17.758641116,8.323567167
5,35,16.194195266,13.120999333
6,42,13.934028479,15.790976915
7,49,7.541325636,16.623489849
8,56,7.311527527,12.080781750
9,63,-0.011884567,12.473048730
10,70,-3.892040660,7.200251327
11,77,-4.345171523,4.296392716
12,84,-0.802470125,-0.368972922
13,91,4.027889730,-2.233008336
14,105,14.345886796,-0.130449646
15,126,15.277884997,14.906474217
16,147,7.935611605,18.679906287
17,154,4.293025394,12.072778540
18,161,4.856341636,8.413156640
19,168,10.897211458,7.551966337
20,175,14.741679680,7.059024482
21,182,18.623641084,6.863093267
22,189,11.044567620,-1.000703952
23,196,5.170387598,-0.932144579
24,203,0.232978990,0.411214083
25,210,-4.716734350,3.073802412
26,217,-6.912102494,6.810905124
27,224,-7.513199444,11.409537930
28,231,-7.662692406,12.699949606
29,238,0.279251569,17.050672666
30,245,6.266836918,15.886480070
31,252,10.452074140,12.754287182
32,259,14.522897093,10.299402407
