obs_id,pose_id,landmark_id,range,bearing
0,0,1,6.426094945,1.116894545
1,0,0,6.801027400,-2.912964781
2,5,1,5.086450384,1.611346075
3,5,2,7.083556870,0.188779810
4,10,2,2.897898274,0.136060222
5,10,1,6.696194084,2.007425979
6,15,2,0.573935850,2.850861221
7,15,7,7.108537834,1.229785284
8,20,2,4.824488326,2.636044209
9,20,3,6.301609754,-0.318514303
10,25,3,2.552696083,-0.858654929
11,25,7,6.326197191,1.796415206
12,30,3,3.722397506,-3.054576138
13,30,8,6.108478497,-1.073904967
14,35,4,4.687936697,-0.176270991
15,35,8,5.223825904,-1.701034515
16,40,4,2.508262681,-1.903472194
17,40,7,7.643083378,1.543202636
18,45,4,4.995276664,-2.674755005
19,45,5,6.454263749,0.152391544
20,50,5,6.266973657,-0.236829226
21,50,4,8.530252311,2.741114632
22,55,5,3.034897582,-2.135934442
23,55,9,5.438870074,-0.483959552
24,60,9,3.865194568,-1.470703312
25,60,5,5.485956576,-2.982885590
26,65,6,4.286024734,-0.531451165
27,65,9,5.030262250,-2.387458661
28,70,6,2.351540050,-2.237985213
29,70,1,7.401702872,1.232875278
30,75,6,5.891975914,-2.752136277
31,75,0,6.807998795,-0.144056797
32,80,0,5.160658554,-1.754230486
33,80,1,6.640101363,1.318709722
34,85,1,6.349497205,1.766800621
35,85,0,6.804070825,-2.381666323
36,90,2,7.430619440,1.143056166
37,90,1,7.483900482,2.138183562
38,95,2,5.494783085,0.874032333
39,100,2,4.461153178,1.600206809
40,105,2,4.631459156,2.007547358
41,105,3,8.445356955,0.354065598
42,110,3,5.740599929,0.592630523
43,110,2,7.015454123,2.520167872
44,115,3,2.257880220,0.505564752
45,120,3,2.254168781,2.582560964
46,120,8,6.338890208,0.308378609
47,125,8,3.476306547,-0.862353078
48,125,3,4.411271334,2.180961209
49,130,8,3.104914423,-2.261971351
50,130,4,4.254904756,0.116598387
51,135,4,0.993774013,-0.769804206
52,135,8,5.893044386,2.907715306
53,140,4,2.866906791,-2.815935076
54,140,5,8.539254897,0.046821450
55,145,5,5.010110140,-0.279295092
56,145,4,6.531948171,2.881917750
57,150,5,4.108826357,-1.915139606
58,150,7,7.407004554,1.177808692
59,155,5,6.343895438,-2.745022564
60,155,1,7.011980089,0.181268122
61,160,1,4.726556635,-1.211784609
62,160,7,4.474859355,1.057070448
63,165,7,5.231143347,1.142724422
64,165,1,5.822557920,-2.936791295
65,170,7,2.122112587,2.224387700
66,170,2,6.107640525,-2.010085259
67,175,3,4.050812224,0.941626053
68,175,7,5.544169863,-2.819290309
69,180,3,3.706980646,-3.012372678
70,180,2,6.761649040,-0.353211566
71,185,2,3.453113428,-0.817107791
72,185,3,7.458219836,-3.026103337
73,190,2,1.955698624,-1.692753970
74,195,2,4.560806548,-2.798644923
75,195,1,6.890986205,-1.233342029
76,200,1,6.396837615,-1.507699908
77,200,2,7.535161549,-2.702755263
78,205,1,5.968008776,-1.539680770
79,205,0,6.300011757,1.203003113
80,210,0,5.881796481,1.767951569
81,210,6,6.210325892,-0.514535873
82,215,6,3.015317240,-0.452013575
83,215,0,8.047331419,2.703702919
84,220,6,1.302595752,-1.927651493
85,220,9,8.124322330,-0.986755750
86,225,6,3.295540581,-1.959060752
87,225,9,5.437342328,-0.170399330
88,230,9,5.225414156,0.201934022
89,230,6,5.823863318,-2.489189628
90,235,9,1.881068283,-2.054928058
91,235,5,5.649369534,0.047249376
92,240,5,2.241195148,0.985311726
93,240,9,4.718617902,-2.829709808
94,245,5,2.608552093,2.369992654
95,245,9,7.514781313,-2.907041099
96,250,7,5.790962829,-0.573339813
97,250,5,6.981457485,-3.009873605
98,255,7,3.076220819,-1.240928909
99,255,4,6.658679508,1.729883914
