factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm_gaussian,robust_weight_gaussian,normalized_norm_robust,robust_weight_robust
300,loop,7,"loop_7(118,228)","[118, 228]","[-4.500702695801129, 15.93705453501374, -0.24210160513179835]",103.64207837127915,1.0,165.36869812112363,0.015117734059736536
346,landmark,45,lm_45(pose 120),[120],"[1.1321218857517472, 1.5355773030482904]",34.50977673016251,1.0,1.3504728884693742,1.0
345,landmark,44,lm_44(pose 115),[115],"[1.589460881776735, -1.2455460798272624]",28.606190297147336,1.0,0.4313659055516137,1.0
299,loop,6,"loop_6(42,146)","[42, 146]","[2.8265978713898803, -0.22794884299169518, 0.7297528054874522]",24.02307084209848,1.0,35.63443876208321,0.07015685069972599
390,landmark,89,lm_89(pose 230),[230],"[0.586582209206667, -1.0683533008436559]",23.89043539829776,1.0,3.296413213739447,0.7584000663448389
389,landmark,88,lm_88(pose 230),[230],"[-2.174817660616205, 0.8478889500727989]",21.277779100860993,1.0,16.812403804264854,0.1486997355705802
388,landmark,87,lm_87(pose 225),[225],"[-1.0636602769364014, 0.931633305896562]",21.26001244646322,1.0,1.5137201424748743,1.0
391,landmark,90,lm_90(pose 235),[235],"[0.6935788713010729, -0.7918882665539799]",17.877686916185198,1.0,2.053348698202604,1.0
229,odometry,228,"odom(228,229)","[228, 229]","[-0.6583925410363956, 0.35120229479143356, 0.1542466236850375]",17.8162786935039,1.0,1.0102849454241731,1.0
228,odometry,227,"odom(227,228)","[227, 228]","[0.48688362237981864, -0.30077236998568097, 0.1915547031830438]",16.29307573819388,1.0,0.5387331663563367,1.0
120,odometry,119,"odom(119,120)","[119, 120]","[0.5266004464322095, -0.4030118493945329, 0.06503083670750298]",15.404906597603377,1.0,0.47223419981375325,1.0
321,landmark,20,lm_20(pose 50),[50],"[-2.7446953044801803, -0.3954901873418626]",15.260685110654697,1.0,19.11530188074075,0.13078527431046363
230,odometry,229,"odom(229,230)","[229, 230]","[-0.4937401987758671, 0.3930034669787976, 0.09148284166348564]",15.24801148823531,1.0,1.1357706222039587,1.0
119,odometry,118,"odom(118,119)","[118, 119]","[0.5053659157096433, -0.4074416673668803, -0.047078372874057806]",15.059414897876946,1.0,0.42941458542144506,1.0
227,odometry,226,"odom(226,227)","[226, 227]","[0.5732360681445668, -0.2746784368549319, 0.10847993646482612]",14.371466005316949,1.0,0.5571845722641272,1.0
387,landmark,86,lm_86(pose 225),[225],"[-0.248981481798082, -0.6266602559949348]",13.971695209336884,1.0,0.9310315259659362,1.0
118,odometry,117,"odom(117,118)","[117, 118]","[0.10678215791362411, 0.35268965878407055, -0.15497991886575813]",13.395681165169856,1.0,0.23519276752428325,1.0
